h3_cell,count,total_risk,mean_risk,max_risk,dominant_type,dominant_vehicle,dominant_station,peak_hour_ist,pct_junction,n_validated,lat_centroid,lon_centroid,density_score,risk_tier,smoothed_risk,violations_per_day,cii_raw,cii,cii_tier
8860145a31fffff,22,66,3.0,3,NO PARKING,SCOOTER,Byatarayanapura,11,0.0,22,12.956265715452142,77.52686278903666,0.1,LOW,782.7,0.15492957746478872,15.802031178166924,32.5,MODERATE
8860145a33fffff,264,1686,6.386363636363637,25,NO PARKING,CAR,Byatarayanapura,11,0.0,262,12.956292854012514,77.51844520631552,3.4,LOW,702.3,1.8591549295774648,17.422836506495134,35.8,MODERATE
8860145a35fffff,337,1132,3.3590504451038576,10,WRONG PARKING,SCOOTER,Byatarayanapura,11,0.712166172106825,319,12.96373131711767,77.53119609815312,2.3,LOW,1477.6,2.3732394366197185,19.325556902244326,39.7,MODERATE
8860145a39fffff,82,1207,14.71951219512195,25,PARKING IN A MAIN ROAD,LORRY/GOODS VEHICLE,Byatarayanapura,0,0.4390243902439024,81,12.94877269497242,77.53094766754822,2.4,LOW,793.6,0.5774647887323944,20.807218093245,42.7,MODERATE
8860145a3bfffff,93,1305,14.03225806451613,25,PARKING IN A MAIN ROAD,CAR,Byatarayanapura,4,0.1290322580645161,91,12.94880032151652,77.52252990183392,2.6,LOW,756.0,0.6549295774647887,20.296240041955574,41.7,MODERATE
8860145a3dfffff,17,83,4.882352941176471,12,NO PARKING,SCOOTER,Vijayanagara,10,0.8823529411764706,17,12.956238304063396,77.53528116998447,0.2,LOW,1810.7,0.11971830985915492,19.478573307535914,40.0,MODERATE
8860145a41fffff,11,81,7.363636363636363,12,WRONG PARKING,CAR,Banashankari,3,0.9090909090909092,11,12.92623166690904,77.56004126112575,0.2,LOW,93.3,0.07746478873239436,8.822137790324357,18.1,LOW
8860145a43fffff,121,456,3.768595041322314,10,NO PARKING,SCOOTER,Banashankari,8,1.0,116,12.926261301857249,77.55162135202855,0.9,LOW,83.1,0.852112676056338,7.2192029682570995,14.8,LOW
8860145a45fffff,3,16,5.333333333333333,10,NO PARKING,MOTOR CYCLE,Basavanagudi,11,0.0,3,12.933697726689791,77.56437657300647,0.0,LOW,475.0,0.02112676056338028,14.604692049428124,30.0,MODERATE
8860145a47fffff,3,21,7.0,9,NO PARKING,CAR,Banashankari,5,0.0,2,12.933727146833665,77.55595604907661,0.0,LOW,112.9,0.02112676056338028,9.485008567726837,19.5,LOW
8860145a49fffff,2,16,8.0,10,PARKING IN A MAIN ROAD,PASSENGER AUTO,Banashankari,15,0.5,2,12.91873569304952,77.5641264624357,0.0,LOW,232.9,0.014084507042253521,12.84955071676349,26.4,MODERATE
8860145a4bfffff,2,9,4.5,6,NO PARKING,CAR,Banashankari,3,1.0,2,12.918765815421152,77.55570637101178,0.0,LOW,150.7,0.014084507042253521,9.758156058009781,20.0,MODERATE
8860145a4dfffff,13,54,4.153846153846154,12,NO PARKING,SCOOTER,Banashankari,11,0.1538461538461538,11,12.926201759333692,77.56846196730865,0.1,LOW,432.9,0.09154929577464789,13.686288743646543,28.1,MODERATE
8860145a51fffff,6,45,7.5,12,WRONG PARKING,PASSENGER AUTO,Banashankari,11,0.0,6,12.918825242848882,77.5388685799422,0.1,LOW,15.1,0.04225352112676056,4.144497847619844,8.5,LOW
8860145a57fffff,1,6,6.0,6,NO PARKING,CAR,Kengeri,1,0.0,1,12.9263197541735,77.53478392609289,0.0,LOW,99.4,0.007042253521126761,8.426555773812012,17.3,LOW
8860145a5bfffff,12,55,4.583333333333333,6,PARKING IN A MAIN ROAD,MOPED,K.S. Layout,5,0.0,12,12.911360030421845,77.53453534140478,0.1,LOW,46.0,0.08450704225352113,5.398293420264415,11.1,LOW
8860145a61fffff,22,156,7.090909090909091,15,WRONG PARKING,CAR,Basavanagudi,4,0.7727272727272727,22,12.948659460635447,77.56462670857054,0.3,LOW,906.0,0.15492957746478872,18.120887396132936,37.2,MODERATE
8860145a63fffff,7,34,4.857142857142857,10,WRONG PARKING,SCOOTER,Basavanagudi,4,0.0,7,12.948688178594848,77.55620575209066,0.1,LOW,110.4,0.04929577464788732,8.564949339956653,17.6,LOW
8860145a65fffff,88,469,5.329545454545454,20,NO PARKING,SCOOTER,V.V.Puram (C.Pet),10,1.0,87,12.956125928712485,77.56896267104027,0.9,LOW,4179.6,0.6197183098591549,21.43015060961941,44.0,MODERATE
8860145a67fffff,11,170,15.454545454545457,25,WRONG PARKING,PRIVATE BUS,Chamarajpet,1,0.9090909090909092,11,12.956154432170791,77.56054109968734,0.3,LOW,562.7,0.07746478873239436,19.387878281287403,39.8,MODERATE
8860145a69fffff,717,3003,4.188284518828452,15,WRONG PARKING,SCOOTER,Basavanagudi,3,0.697350069735007,663,12.94116399438934,77.56871230666584,6.1,LOW,952.9,5.049295774647887,19.125299179705074,39.3,MODERATE
8860145a6bfffff,25,126,5.04,9,NO PARKING,CAR,Basavanagudi,10,0.0,25,12.941193199884422,77.56029116791997,0.2,LOW,490.1,0.176056338028169,14.638351318594058,30.1,MODERATE
8860145a6dfffff,492,2384,4.845528455284553,20,NO PARKING,SCOOTER,Basavanagudi,10,1.0,463,12.948630469633484,77.57304846211579,4.8,LOW,2051.9,3.464788732394366,21.09860758723774,43.3,MODERATE
8860145a85fffff,14,87,6.214285714285714,15,WRONG PARKING,SCOOTER,Jnanabharathi,11,0.0,14,12.948908101800251,77.48886682463771,0.2,LOW,72.6,0.09859154929577464,7.391619748162566,15.2,LOW
8860145a87fffff,2,6,3.0,3,WRONG PARKING,SCOOTER,Jnanabharathi,4,0.0,2,12.948934365776328,77.4804530530009,0.0,LOW,13.3,0.014084507042253521,2.125515108454884,4.4,LOW
8860145a89fffff,11,67,6.090909090909091,10,WRONG PARKING,CAR,Kengeri,12,0.0,10,12.933952696567284,77.48862057950036,0.1,LOW,53.7,0.07746478873239436,6.6216522224797405,13.6,LOW
8860145a8dfffff,56,279,4.982142857142857,15,NO PARKING,CAR,Jnanabharathi,11,0.0,55,12.941417026542869,77.49295077657538,0.6,LOW,81.3,0.39436619718309857,7.432502731522668,15.3,LOW
8860145aa5fffff,4,18,4.5,6,WRONG PARKING,SCOOTER,Jnanabharathi,3,0.0,4,12.971327938046748,77.49344374806746,0.0,LOW,11.6,0.028169014084507043,2.58278095874953,5.3,LOW
8860145aadfffff,1,6,6.0,6,WRONG PARKING,CAR,Jnanabharathi,14,0.0,1,12.963837373511854,77.49752809735944,0.0,LOW,39.6,0.007042253521126761,5.429523132862458,11.2,LOW
8860145ac1fffff,12,64,5.333333333333333,15,PARKING IN A MAIN ROAD,SCOOTER,Kengeri,8,0.0,12,12.926433390595744,77.50111865025738,0.1,LOW,28.9,0.08450704225352113,4.392655438068569,9.0,LOW
8860145ac3fffff,1,3,3.0,3,NO PARKING,SCOOTER,Kengeri,10,0.0,1,12.926461119264168,77.49270432776233,0.0,LOW,45.0,0.007042253521126761,4.61527980942032,9.5,LOW
8860145ac5fffff,1,6,6.0,6,WRONG PARKING,CAR,Kengeri,6,0.0,1,12.933897943313648,77.50544965641919,0.0,LOW,134.4,0.007042253521126761,10.028929661052368,20.6,MODERATE
8860145acbfffff,43,129,3.0,3,NO PARKING,SCOOTER,Kengeri,10,0.0,43,12.918969047258075,77.49678806597716,0.3,LOW,31.6,0.3028169014084507,3.754361181928366,7.7,LOW
8860145ad1fffff,6,21,3.5,6,WRONG PARKING,SCOOTER,Kengeri,3,0.0,4,12.919024664940526,77.47996145111618,0.0,LOW,62.0,0.04225352112676056,6.0459815271450665,12.4,LOW
8860145ad5fffff,8,27,3.375,6,NO PARKING,SCOOTER,Kengeri,13,0.0,8,12.926488575908706,77.48429080435139,0.0,LOW,21.3,0.056338028169014086,3.004582689012413,6.2,LOW
8860145ad7fffff,1,6,6.0,6,WRONG PARKING,CAR,Kengeri,6,0.0,1,12.926515760604886,77.47587808027352,0.0,LOW,7.7,0.007042253521126761,2.7588999874618634,5.7,LOW
8860145ad9fffff,51,355,6.96078431372549,15,NO PARKING,CAR,Kengeri,5,0.0,51,12.911533074703945,77.48404481204311,0.7,LOW,60.1,0.3591549295774648,7.423524658745515,15.3,LOW
8860145addfffff,1,25,25.0,25,PARKING IN A MAIN ROAD,PRIVATE BUS,Kengeri,12,0.0,1,12.918996992029673,77.48837435895996,0.0,LOW,80.0,0.007042253521126761,15.21053203493961,31.2,MODERATE
8860145ae1fffff,5,36,7.2,12,WRONG PARKING,CAR,Jnanabharathi,4,0.0,5,12.948854756685654,77.50569676560454,0.1,LOW,28.9,0.035211267605633804,5.119603794876081,10.5,LOW
8860145ae3fffff,25,136,5.44,20,WRONG PARKING,SCOOTER,Jnanabharathi,11,0.0,25,12.94888156546192,77.49728139558863,0.3,LOW,77.7,0.176056338028169,7.409627282985749,15.2,LOW
8860145ae5fffff,4,24,6.0,6,WRONG PARKING,CAR,Jnanabharathi,12,0.0,4,12.95631971982018,77.51002842207086,0.0,LOW,540.4,0.028169014084507043,15.378626656078909,31.6,MODERATE
8860145ae7fffff,1,6,6.0,6,NO PARKING,CAR,Jnanabharathi,7,0.0,1,12.956346312950869,77.50161243655228,0.0,LOW,57.7,0.007042253521126761,6.794508296067205,14.0,LOW
8860145b01fffff,854,4255,4.982435597189696,20,NO PARKING,CAR,Malleshwaram,6,0.0,809,12.993515958516587,77.57380031692995,8.6,LOW,2788.6,6.014084507042254,22.85558133546133,47.0,HIGH
8860145b03fffff,284,1192,4.197183098591549,12,NO PARKING,SCOOTER,Sheshadripuram,10,0.0,271,12.993542843983317,77.56537726526012,2.4,LOW,2672.3,2.0,20.846825761691814,42.8,MODERATE
8860145b05fffff,34,137,4.029411764705882,12,NO PARKING,SCOOTER,Sheshadripuram,10,0.0,34,13.00098323539204,77.57813758092794,0.3,LOW,2921.3,0.23943661971830985,20.223859828547123,41.5,MODERATE
8860145b07fffff,1440,7840,5.444444444444445,15,WRONG PARKING,CAR,Malleshwaram,10,0.0,1356,13.001009906965386,77.56971391430439,15.9,LOW,3139.4,10.140845070422536,24.839457052237595,51.0,HIGH
8860145b09fffff,751,4543,6.049267643142477,25,NO PARKING,CAR,High ground,8,0.6551264980026631,720,12.986021513806191,77.57788670867002,9.2,LOW,12479.9,5.288732394366197,24.41650565298567,50.2,HIGH
8860145b0bfffff,65,322,4.953846153846154,12,NO PARKING,CAR,Sheshadripuram,8,0.0307692307692307,65,12.986048887032434,77.56946347485581,0.6,LOW,8805.3,0.45774647887323944,21.897574738547704,45.0,HIGH
8860145b0dfffff,209,1231,5.889952153110048,15,NO PARKING,CAR,Sheshadripuram,10,0.937799043062201,201,12.993488799175896,77.58222416562411,2.5,LOW,2356.9,1.471830985915493,21.045603463325353,43.2,MODERATE
8860145b11fffff,1008,5354,5.311507936507937,15,WRONG PARKING,CAR,Rajajinagar,5,1.0,984,12.986102812430351,77.55261939882277,10.8,LOW,3224.0,7.098591549295775,23.628728221621188,48.5,HIGH
8860145b13fffff,56,303,5.410714285714286,12,WRONG PARKING,CAR,Vijayanagara,2,1.0,56,12.986129364753625,77.54419855710536,0.6,LOW,2360.0,0.39436619718309857,20.45259599137854,42.0,MODERATE
8860145b15fffff,565,3486,6.169911504424779,15,WRONG PARKING,CAR,Rajajinagar,1,1.0,544,12.993569455651905,77.5569550108656,7.1,LOW,4324.7,3.9788732394366195,23.22865336341993,47.7,HIGH
8860145b17fffff,1038,5226,5.034682080924855,15,WRONG PARKING,SCOOTER,Vijayanagara,5,1.0,1012,12.993595793598193,77.54853355399707,10.6,LOW,4320.7,7.309859154929577,24.047608779208243,49.4,HIGH
8860145b19fffff,912,3957,4.338815789473684,25,NO PARKING,SCOOTER,Magadi Road,4,0.5427631578947368,867,12.978609335035548,77.55670523298144,8.0,LOW,2756.3,6.422535211267606,22.73184010356061,46.7,HIGH
8860145b1bfffff,629,2998,4.766295707472178,15,NO PARKING,SCOOTER,Vijayanagara,11,1.0,595,12.978636375286456,77.54828420872519,6.1,LOW,3541.9,4.429577464788732,22.46173205822187,46.1,HIGH
8860145b1dfffff,239,1244,5.205020920502092,15,WRONG PARKING,CAR,Rajajinagar,10,1.0,234,12.98607598654856,77.56104103815645,2.5,LOW,2324.4,1.6830985915492958,20.79679083152679,42.7,MODERATE
8860145b21fffff,3,18,6.0,6,NO PARKING,CAR,Sadashivanagar,7,0.0,3,13.01594464807318,77.5783884782622,0.0,LOW,1301.3,0.02112676056338028,19.055334977222387,39.1,MODERATE
8860145b23fffff,10,59,5.9,10,NO PARKING,CAR,Sadashivanagar,4,0.0,10,13.015970618038208,77.56996437878519,0.1,LOW,1439.3,0.07042253521126761,19.33178919212605,39.7,MODERATE
8860145b25fffff,194,1152,5.938144329896907,25,WRONG PARKING,CAR,R.T. Nagar,10,0.0,185,13.023412325449542,77.58272639319945,2.3,LOW,788.9,1.3661971830985915,17.55081672389256,36.1,MODERATE
8860145b27fffff,120,730,6.083333333333333,12,WRONG PARKING,CAR,Sadashivanagar,11,0.0,119,13.02343808182567,77.57430167872843,1.5,LOW,582.9,0.8450704225352113,16.124477229350386,33.1,MODERATE
8860145b29fffff,84,599,7.130952380952381,25,NO PARKING,CAR,Sadashivanagar,9,0.0714285714285714,83,13.008450717284164,77.58247526686165,1.2,LOW,1105.7,0.5915492957746479,19.083065952589923,39.2,MODERATE
8860145b2bfffff,1169,6260,5.355004277159966,15,WRONG PARKING,CAR,Malleshwaram,5,0.0,1127,13.008477175120222,77.57405098530111,12.7,LOW,2405.4,8.232394366197184,23.6545440270758,48.6,HIGH
8860145b2dfffff,45,291,6.466666666666667,12,WRONG PARKING,CAR,R.T. Nagar,3,0.3333333333333333,42,13.015918403818237,77.58681337474293,0.6,LOW,604.3,0.31690140845070425,16.214910909572172,33.3,MODERATE
8860145b31fffff,1956,9747,4.983128834355829,15,WRONG PARKING,CAR,Malleshwaram,10,0.516359918200409,1825,13.008529268490513,77.55720481371395,19.7,LOW,5328.4,13.774647887323944,26.820618107069535,55.1,HIGH
8860145b33fffff,767,3939,5.135593220338983,15,WRONG PARKING,SCOOTER,Rajajinagar,10,0.8657105606258149,739,13.008554904176677,77.54878292418904,8.0,LOW,5359.7,5.401408450704225,23.561981677319363,48.4,HIGH
8860145b35fffff,118,873,7.398305084745763,25,NO PARKING,CAR,Yeshwanthpura,1,0.0,113,13.015996313789362,77.56154107656299,1.8,LOW,2892.9,0.8309859154929577,21.778363284368485,44.7,MODERATE
8860145b37fffff,1141,7044,6.1735319894829095,25,WRONG PARKING,CAR,Malleshwaram,10,0.0,1056,13.01602173540264,77.55311857184648,14.3,LOW,3261.1,8.035211267605634,24.407532911144024,50.1,HIGH
8860145b39fffff,68,367,5.397058823529412,10,WRONG PARKING,CAR,Malleshwaram,10,0.088235294117647,54,13.00103630457673,77.56129104486568,0.7,LOW,5423.0,0.4788732394366197,21.72722742459294,44.6,MODERATE
8860145b3bfffff,3008,13404,4.456117021276596,20,WRONG PARKING,CAR,Malleshwaram,8,1.0,2863,13.00106242830196,77.55286897286263,27.1,MEDIUM,5462.9,21.183098591549296,29.662214435041335,60.9,HIGH
8860145b3dfffff,429,1925,4.487179487179487,15,NO PARKING,SCOOTER,Malleshwaram,10,0.0,416,13.008503358830348,77.56562750083489,3.9,LOW,3867.3,3.0211267605633805,21.964746831441364,45.1,HIGH
8860145b41fffff,366,1858,5.076502732240437,20,NO PARKING,CAR,Cubbon Park,2,1.0,364,12.9784984385692,77.59039730205839,3.8,LOW,5921.7,2.5774647887323945,22.497788788804563,46.2,HIGH
8860145b43fffff,4504,27094,6.015541740674956,25,NO PARKING,CAR,Upparpet,1,0.9862344582593252,4257,12.978526573156593,77.5819730894831,54.9,HIGH,15717.7,31.718309859154928,35.06386704942751,72.0,SEVERE
8860145b45fffff,389,2111,5.426735218508997,15,WRONG PARKING,CAR,High ground,5,0.6066838046272494,379,12.985965945920508,77.5947355666389,4.3,LOW,4284.1,2.73943661971831,22.346587429652942,45.9,HIGH
8860145b47fffff,93,549,5.903225806451613,15,NO PARKING,CAR,High ground,10,1.0,93,12.985993866794134,77.58631073934811,1.1,LOW,6148.9,0.6549295774647887,22.089137524486443,45.4,HIGH
8860145b49fffff,573,3246,5.664921465968586,25,NO PARKING,CAR,Cubbon Park,7,0.9982547993019196,561,12.971002514823695,77.59448385371343,6.6,LOW,2657.3,4.035211267605634,22.18865843467598,45.6,HIGH
8860145b4bfffff,330,1777,5.384848484848485,15,NO PARKING,SCOOTER,Halasuru Gate,4,1.0,326,12.971031136890277,77.58605945932764,3.6,LOW,10611.6,2.323943661971831,22.935148906205875,47.1,HIGH
8860145b4dfffff,1237,4817,3.8940986257073567,20,WRONG PARKING,SCOOTER,Shivajinagar,4,0.9781729991915926,1139,12.978470030208513,77.59882231108581,9.8,LOW,8144.9,8.711267605633802,24.656389815978603,50.7,HIGH
8860145b51fffff,147,1047,7.122448979591836,25,WRONG PARKING,PASSENGER AUTO,Chamarajpet,2,0.7210884353741497,135,12.971087560270853,77.56921306043569,2.1,LOW,13781.1,1.0352112676056338,23.174043327365638,47.6,HIGH
8860145b53fffff,261,1135,4.3486590038314175,12,WRONG PARKING,SCOOTER,Magadi Road,7,0.950191570881226,246,12.971115361736077,77.56079105643158,2.3,LOW,1949.0,1.8380281690140845,20.13046121928657,41.4,MODERATE
8860145b55fffff,9460,49365,5.218287526427061,25,WRONG PARKING,SCOOTER,Upparpet,9,1.0,8979,12.978554434046352,77.57354967361115,100.0,CRITICAL,15417.9,66.61971830985915,48.67585515350559,100.0,SEVERE
8860145b57fffff,122,716,5.868852459016393,25,NO PARKING,PASSENGER AUTO,Magadi Road,12,0.9590163934426228,112,12.978582021314104,77.56512705469366,1.4,LOW,8255.1,0.8591549295774648,22.335119869384133,45.9,HIGH
8860145b59fffff,3315,18727,5.649170437405732,25,WRONG PARKING,SCOOTER,City Market,1,1.0,3039,12.96359260374128,77.57329905534102,37.9,MEDIUM,9531.7,23.345070422535212,31.389981210445228,64.5,HIGH
8860145b5bfffff,58,640,11.03448275862069,25,PARKING IN A MAIN ROAD,CAR,Chamarajpet,2,0.913793103448276,56,12.96362089285422,77.56487686913171,1.3,LOW,3492.3,0.4084507042253521,23.33088258395147,47.9,HIGH
8860145b5dfffff,5216,24838,4.761886503067485,25,WRONG PARKING,SCOOTER,Upparpet,9,0.9131518404907976,4982,12.971059485347478,77.57763586148468,50.3,HIGH,19591.1,36.732394366197184,36.597712347705865,75.2,SEVERE
8860145b61fffff,170,981,5.770588235294118,15,WRONG PARKING,CAR,R.T. Nagar,3,0.0,165,13.000929070055918,77.59498730472522,2.0,LOW,1305.0,1.1971830985915493,19.46366639705575,40.0,MODERATE
8860145b63fffff,24,127,5.291666666666667,10,WRONG PARKING,CAR,Sadashivanagar,8,0.375,24,13.000956289780827,77.58656204448529,0.3,LOW,1291.3,0.16901408450704225,18.801482982962067,38.6,MODERATE
8860145b65fffff,5,18,3.6,6,WRONG PARKING,SCOOTER,R.T. Nagar,10,0.0,5,13.00839697893067,77.59932622026093,0.0,LOW,270.7,0.035211267605633804,11.513431688051156,23.7,MODERATE
8860145b67fffff,63,308,4.888888888888889,15,NO PARKING,SCOOTER,R.T. Nagar,11,0.0,62,13.00842398524627,77.59090034526537,0.6,LOW,380.9,0.44366197183098594,13.379311145474894,27.5,MODERATE
8860145b69fffff,357,1799,5.03921568627451,12,WRONG PARKING,SCOOTER,Shivajinagar,4,0.0,328,12.993433658569543,77.59907425308099,3.6,LOW,3761.9,2.5140845070422535,21.92339722866202,45.0,HIGH
8860145b6bfffff,1725,5656,3.278840579710145,15,WRONG PARKING,SCOOTER,High ground,4,0.8759420289855072,1638,12.993461365885471,77.59064881109155,11.5,LOW,1779.1,12.147887323943662,23.618762378078735,48.5,HIGH
8860145b6dfffff,42,246,5.857142857142857,12,WRONG PARKING,CAR,R.T. Nagar,5,0.0,41,13.000901576141487,77.60341336139636,0.5,LOW,1083.3,0.29577464788732394,18.30686433138893,37.6,MODERATE
8860169009fffff,5,36,7.2,9,NO PARKING,CAR,Devanahalli Airport,4,0.0,5,13.19518185388653,77.69949502264804,0.1,LOW,33.9,0.035211267605633804,5.549870857190622,11.4,LOW
886016900bfffff,2,12,6.0,6,WRONG PARKING,CAR,Devanahalli Airport,4,0.0,2,13.195203297557809,77.69105457865219,0.0,LOW,114.1,0.014084507042253521,9.186049233083963,18.9,LOW
886016900dfffff,7,42,6.0,6,NO PARKING,CAR,Devanahalli Airport,12,0.0,7,13.202654743939304,77.70384429741401,0.1,LOW,28.9,0.04929577464788732,4.645237597692983,9.5,LOW
8860169015fffff,4,24,6.0,6,NO PARKING,CAR,Devanahalli Airport,11,0.0,3,13.202717611118835,77.67852350588166,0.0,LOW,27.0,0.028169014084507043,4.429071759936473,9.1,LOW
8860169019fffff,1573,13105,8.33121424030515,25,NO PARKING,CAR,Chikkajala,4,0.0,1473,13.187752187404088,77.67826730558852,26.5,MEDIUM,2261.9,11.077464788732394,25.745667457312347,52.9,HIGH
886016901dfffff,26,165,6.346153846153846,9,WRONG PARKING,CAR,Devanahalli Airport,4,0.0,23,13.19522446291114,77.6826149292126,0.3,LOW,1979.9,0.18309859154929578,20.297160915734075,41.7,MODERATE
8860169045fffff,1,9,9.0,9,WRONG PARKING,MAXI-CAB,Devanahalli Airport,4,0.0,1,13.195138131281986,77.71637829329157,0.0,LOW,19.0,0.007042253521126761,5.0568228361265515,10.4,LOW
8860169047fffff,18,114,6.333333333333333,9,NO PARKING,CAR,Devanahalli Airport,11,0.0,18,13.195160131820264,77.70793626094593,0.2,LOW,30.1,0.1267605633802817,4.928251208537078,10.1,LOW
8860169051fffff,21,129,6.142857142857143,9,WRONG PARKING,CAR,Chikkajala,5,0.0,21,13.180236659427266,77.69079773976567,0.3,LOW,386.1,0.14788732394366197,13.851609359420621,28.5,MODERATE
8860169053fffff,253,1988,7.857707509881423,15,NO PARKING,CAR,Chikkajala,4,0.0,225,13.18025852254719,77.68235852461682,4.0,LOW,2256.7,1.7816901408450705,21.778607724979025,44.7,MODERATE
8860169055fffff,4,33,8.25,12,WRONG PARKING,CAR,Chikkajala,4,0.0,4,13.187709158923589,77.69514617010236,0.1,LOW,109.0,0.028169014084507043,9.839457516613033,20.2,MODERATE
8860169057fffff,85,553,6.505882352941176,10,WRONG PARKING,CAR,Chikkajala,4,0.0,84,13.187730812240169,77.68670634052118,1.1,LOW,2283.6,0.5985915492957746,20.853658997096563,42.8,MODERATE
886016906bfffff,1,10,10.0,10,PARKING IN A MAIN ROAD,CAR,Devanahalli Airport,7,0.0,1,13.202633231194875,77.7122861500164,0.0,LOW,25.0,0.007042253521126761,5.872253103188866,12.1,LOW
88601690c3fffff,426,3125,7.335680751173709,25,NO PARKING,CAR,Chikkajala,7,0.0,392,13.187834908074567,77.64451911741779,6.3,LOW,560.7,3.0,17.279672893941296,35.5,MODERATE
88601690c7fffff,78,779,9.987179487179487,25,PARKING IN A MAIN ROAD,CAR,Chikkajala,2,0.0,75,13.195306342687523,77.64886428209394,1.6,LOW,557.7,0.5492957746478874,17.33031710769831,35.6,MODERATE
88601690d5fffff,3,21,7.0,9,NO PARKING,CAR,Chikkajala,7,0.0,3,13.187854893631489,77.63608405953214,0.0,LOW,449.4,0.02112676056338028,14.97462281105028,30.8,MODERATE
88601690d9fffff,18,121,6.722222222222222,10,NO PARKING,CAR,Chikkajala,11,0.0,18,13.172892628466808,77.63583005499619,0.2,LOW,17.3,0.1267605633802817,4.045231096436847,8.3,LOW
8860169221fffff,1,15,15.0,15,WRONG PARKING,PRIVATE BUS,Chikkajala,7,0.0,1,13.17264982034306,77.72865464872288,0.0,LOW,2.1,0.007042253521126761,6.136348058678481,12.6,LOW
88601692a5fffff,3,22,7.333333333333333,10,WRONG PARKING,CAR,Chikkajala,4,0.0,3,13.180280107679652,77.67392010420868,0.0,LOW,2159.3,0.02112676056338028,20.74593834022931,42.6,MODERATE
8860169601fffff,110,543,4.9363636363636365,15,NO PARKING,CAR,Yelahanka,5,0.0,106,13.098237895793927,77.57555552183827,1.1,LOW,118.3,0.7746478873239436,9.168677606507675,18.8,LOW
8860169603fffff,34,159,4.676470588235294,12,NO PARKING,SCOOTER,Yelahanka,11,0.0,34,13.09825986991376,77.56712943966673,0.3,LOW,100.3,0.23943661971830985,8.049448936593905,16.5,LOW
8860169605fffff,2,12,6.0,9,WRONG PARKING,SCHOOL VEHICLE,Yelahanka,6,0.0,2,13.105706523411008,77.57989438908066,0.0,LOW,105.9,0.014084507042253521,8.785455761273877,18.0,LOW
886016960dfffff,27,114,4.222222222222222,6,NO PARKING,SCOOTER,Yelahanka,3,0.0,27,13.098215646036598,77.583982401524,0.2,LOW,157.0,0.19014084507042253,10.014203387154447,20.6,MODERATE
8860169611fffff,1,15,15.0,15,WRONG PARKING,PRIVATE BUS,Yelahanka,2,0.0,1,13.09081356827578,77.55436694105606,0.0,LOW,34.6,0.007042253521126761,8.703113637313496,17.9,LOW
8860169619fffff,19,78,4.105263157894737,6,WRONG PARKING,SCOOTER,Yelahanka,9,0.0,19,13.083323644942231,77.55845420254886,0.2,LOW,41.4,0.13380281690140844,4.9300477549036215,10.1,LOW
886016961bfffff,22,149,6.7727272727272725,12,NO PARKING,CAR,Yelahanka,11,0.0,21,13.083345770004588,77.55003014908033,0.3,LOW,36.7,0.15492957746478872,5.5307066569907715,11.4,LOW
8860169621fffff,11,48,4.363636363636363,9,NO PARKING,SCOOTER,Yelahanka,3,0.0,11,13.120665716889532,77.58014546205425,0.1,LOW,15.9,0.07746478873239436,2.963384081125545,6.1,LOW
886016962bfffff,14,63,4.5,6,NO PARKING,CAR,Yelahanka,3,0.0,14,13.113196900462054,77.57580636568113,0.1,LOW,17.6,0.09859154929577464,3.1747481924186065,6.5,LOW
8860169641fffff,1,9,9.0,9,WRONG PARKING,OTHERS,Hebbala,3,0.0,0,13.083232391602868,77.59215839337584,0.0,LOW,368.1,0.007042253521126761,14.760086931082043,30.3,MODERATE
8860169643fffff,6,18,3.0,3,WRONG PARKING,SCOOTER,Yelahanka,8,0.0,6,13.083255618054334,77.5837311496285,0.0,LOW,315.7,0.04225352112676056,11.810373218539725,24.3,MODERATE
8860169645fffff,90,351,3.9,15,WRONG PARKING,SCOOTER,Yelahanka,8,0.0,87,13.090701254881663,77.59649826183161,0.7,LOW,400.9,0.6338028169014085,13.326874242487566,27.4,MODERATE
8860169649fffff,5,25,5.0,10,WRONG PARKING,MOTOR CYCLE,Yelahanka,8,0.0,5,13.07574001518634,77.59624637270119,0.0,LOW,553.9,0.035211267605633804,15.100137919505164,31.0,MODERATE
886016964bfffff,597,2174,3.641541038525963,12,WRONG PARKING,SCOOTER,Kodigehalli,11,0.0,556,13.07576372984184,77.58781894705328,4.4,LOW,711.1,4.204225352112676,17.351956407887506,35.6,MODERATE
8860169653fffff,6,33,5.5,6,WRONG PARKING,CAR,Yelahanka,2,0.0,6,13.075833221868304,77.56254145330786,0.1,LOW,28.3,0.04225352112676056,4.323726334266729,8.9,LOW
886016965bfffff,6,36,6.0,6,WRONG PARKING,CAR,Kodigehalli,9,0.0,5,13.068342299375196,77.5666286932915,0.1,LOW,29.9,0.04225352112676056,4.731441467797886,9.7,LOW
886016965dfffff,3,9,3.0,3,WRONG PARKING,SCOOTER,Yelahanka,8,0.0,3,13.075787169123018,77.57939231843748,0.0,LOW,468.7,0.02112676056338028,13.582337944581436,27.9,MODERATE
8860169661fffff,8,45,5.625,15,WRONG PARKING,SCOOTER,Yelahanka,4,0.0,7,13.105662173394158,77.59675017614924,0.1,LOW,399.6,0.056338028169014086,13.75621473649016,28.3,MODERATE
